Word,Count
/,119
the,37
</summary>,34
<summary>,34
of,18
this,17
resources,16
method,16
Required,16
for,15
up,15
code,14
if,13
a,13
to,12
be,11
with,10
not,9
resource,9
modify,9
used,9
any,8
-,8
label1,8
disposed;,8
do,8
Clean,8
being,8
<param,8
\otherwise,\,8
editor,8
should,8
\name="\disposing"\>true\,8
false.</param>,8
type,8
Designer,8
designer,8
support,8
variable,8
contents,8
managed,8
label2,7
by,7
panel1,7
label4,7
localized,7
is,7
Looks,6
label9,6
System.Drawing.Bitmap,6
label3,6
------------------------------------------------------------------------------,6
panel2,6
pictureBox1,6
pictureBox3,5
pictureBox5,5
label7,5
panel6,5
label10,5
assembly,5
class,5
panel7,4
This,4
tool,4
label11,4
label8,4
label13,4
was,4
file,4
or,4
panel3,4
pictureBox4,4
panel4,4
label6,4
=,4
panel5,4
button1,4
and,4
pictureBox2,4
in,4
SAUGO,3
SKAICIU,3
ČIA,3
following,3
KINTAMASIS,3
SaveBtn,3
generated,3
Runtime,3
lost,3
will,3
YRA,3
an,3
KURIS,3
may,3
label5,3
</auto-generated>,3
behavior,3
<auto-generated>,3
Changes,3
ResetBtn,3
label12,3
guna2CirclePictureBox1,3
UsrName,3
cause,3
Version:4.0.30319.42000,3
incorrect,3
BookGrid,3
regenerated,3
Version,3
using,2
Price,2
ComVisible,2
set,2
project,2
UPassTb,2
PriceTb,2
Revision,2
Column2,2
ResGen,2
your,2
all,2
ClientNameTb.Text,2
printPreviewDialog1,2
you,2
COM,2
BillGrid.SelectedRows[0].Cells[2].Value.ToString();,2
can,2
<autogenerated,2
Build,2
printDocument1,2
Column1,2
information,2
guna2CirclePictureBox2,2
The,2
Column3,2
if(),2
ClientName,2
BillGrid,2
Quan.Text,2
ClientNameTb,2
attribute,2
values,2
/>,2
BillGrid.SelectedRows[0].Cells[4].Value.ToString();,2
main,1
Passwrd,1
\AssemblyVersion("\1.0.*"\)]\,1
four,1
VS,1
current,1
Billing,1
pictureBox8,1
through,1
via,1
on,1
Enable,1
auto-generated,1
default,1
PTableT,1
makes,1
Number,1
pictureBox7,1
PIRKIMU,1
Address,1
MSBuild,1
'*',1
running,1
types,1
\option,\,1
Set,1
ResourceManager,1
transactions,1
Splash,1
DashBoardSkydelis,1
consists,1
\strings,\,1
If,1
DeleteB,1
You,1
When,1
rebuild,1
Users,1
as,1
General,1
Login,1
then,1
VARTOTOJU,1
panel8,1
access,1
Phone,1
rerun,1
EditBtn,1
typed,1
Mode,1
entry,1
point,1
remove,1
ResetB,1
WriteCodeFragment,1
what,1
add,1
timer1,1
configuring,1
property,1
CTableT,1
BookStock,1
UserGrid,1
100%,1
that,1
KNYGU,1
UserNameLbl,1
production,1
Minor,1
values:,1
recommend,1
false,1
We,1
typelib,1
Overrides,1
panel10,1
SaveB,1
Major,1
strongly,1
looking,1
controlled,1
thread's,1
see,1
associated,1
BTitle,1
\member,\,1
RefreshB,1
etc,1
pictureBox6,1
true,1
attributes,1
BillStock,1
Visual,1
edit,1
UnameTb,1
strongly-typed,1
monitoring,1
need,1
components,1
BillingForUser,1
CSearchList,1
application,1
1.0,1
ATableT,1
BTitleT,1
traces_sample_rate,1
lookups,1
CurrentUICulture,1
\class,\,1
Information,1
specify,1
DeleteBtn,1
Global,1
pictureBox9,1
capture,1
To,1
client,1
cached,1
exposed,1
Numbers,1
GUID,1
doing:,1
A,1
SDK,1
these,1
shown,1
visible,1
instance,1
percent,1
performance,1
\COM,\,1
.ResX,1
AdminLogin,1
app,1
like,1
UserStock,1
about,1
from,1
Generated,1
StronglyTypedResourceBuilder,1
panel9,1
Change,1
Books,1
value,1
progress,1
EditB,1
ID,1
\time,\,1
below:,1
Studio,1
first,1
Returns,1
adjusting,1
[assembly:,1
Setting,1
/str,1
