File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\AdminLogin.cs,42,38,24,1,4,0,0,0,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\AdminLogin.Designer.cs,132,94,82,1,6,0,32,61,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Billing.cs,208,173,109,4,32,0,3,7,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Billing.Designer.cs,713,573,559,1,6,0,134,95,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\BillingForUser.cs,188,158,100,4,27,0,3,7,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\BillingForUser.Designer.cs,558,448,434,1,6,0,104,85,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Books.cs,230,203,126,4,27,0,0,0,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Books.Designer.cs,662,531,505,1,6,0,125,92,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\DashBoardSkydelis.cs,113,91,57,0,22,3,0,21,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\DashBoardSkydelis.Designer.cs,592,470,458,1,6,0,116,89,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Login.cs,90,73,43,1,17,0,0,0,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Login.Designer.cs,207,154,142,1,6,0,47,66,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Program.cs,37,28,18,0,2,0,7,53,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Splash.cs,62,50,30,1,12,0,0,0,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Splash.Designer.cs,134,95,83,1,7,0,32,61,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Users.cs,1,1,0,0,0,0,0,0,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Users.Designer.cs,607,483,471,1,5,0,119,90,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\obj\Debug\Sentry.Attributes.cs,18,3,2,0,5,0,10,36,9,30
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Properties\Resources.Designer.cs,126,71,41,9,15,1,40,197,0,1
C:\Users\Margar\Desktop\UNI\code\Libraryv2 (1)\Libraryv2\Library\Library\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
